ID , Source_Name , RA , Dec , z , Rmag , Class , Flux_1GHz , Flux_143GHz , Flux_keV , Flux_Fermi
#id , Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
126 , 5BZBJ0226-4441 , 02 26 38.86 , -44 41 22.41 , 0  , 19.3 , BL Lac , 12 , 0 , 2.46 , 4e-10
127 , 5BZBJ0227+0202 , 02 27 16.59 , +02 01 59.98 , 0.457  , 19.1 , BL Lac , 36 , 0 , 18.2 , 4e-10
128 , 5BZBJ0233+3442 , 02 33 20.41 , +34 42 54.0 , 0.458  , 18.3 , BL Lac Candidate , 188 , 0 , 0.4 , 0
129 , 5BZBJ0235-2938 , 02 35 36.72 , -29 38 43.4 , 0  , 19 , BL Lac , 5 , 0 , 1.59 , 0
130 , 5BZBJ0237-3603 , 02 37 34.02 , -36 03 28.51 , 0.411  , 16.3 , BL Lac , 26 , 0 , 2.31 , 4e-10
131 , 5BZBJ0238+1636 , 02 38 38.93 , +16 36 59.29 , 0.94  , 18.5 , BL Lac , 1941 , 1136 , 1.24 , 1.87e-8
132 , 5BZBJ0238-0924 , 02 38 13.66 , -09 24 31.39 , 0.419  , 19.3 , BL Lac , 3 , 0 , 0.36 , 0
133 , 5BZBJ0238-3116 , 02 38 32.49 , -31 16 58.18 , 0.233  , 15.5 , BL Lac , 71 , 0 , 5.14 , 1e-9
134 , 5BZBJ0240-0504 , 02 40 56.15 , -05 04 41.98 , 0  , 19.1 , BL Lac , 237 , 0 , 0 , 0
135 , 5BZBJ0243+0046 , 02 43 02.93 , +00 46 27.29 , 0.409  , 19.3 , BL Lac , 30 , 0 , 0.29 , 0
136 , 5BZBJ0243+7120 , 02 43 30.88 , +71 20 17.91 , 0  , 18.4 , BL Lac , 211 , 0 , 0.18 , 7e-10
